proftxgas,inclusionrate,feeoverhead
2221000,0.71,0.0025661114828333903
2246000,0.71,0.0028056161798714827
2271000,0.71,0.0027747309291023116
2296000,0.71,0.0027445182665467548
2321000,0.71,0.0027149564584193664
2346000,0.71,0.0026860246973535165
2371000,0.71,0.0026577030535602487
2396000,0.71,0.0026299724290448035
2421000,0.71,0.0026028145146597893
2446000,0.71,0.00273866076228695
2471000,0.71,0.002710952741624395
2496000,0.71,0.0026837997694526762
2521000,0.71,0.002657185333024149
2546000,0.71,0.0026310935681672742
2571000,0.71,0.0026055092277533567
2596000,0.71,0.002580417651985316
2621000,0.71,0.0027678114197673474
2646000,0.71,0.002741660518220037
2671000,0.71,0.002715999150584132
2696000,0.71,0.0026908136985201105
2721000,0.71,0.002666091044178691
2746000,0.71,0.002641818547418142
2771000,0.71,0.00261798402425486
2796000,0.71,0.0025945757264700347
2821000,0.71,0.002695649950589199
2846000,0.71,0.002671970664305035
2871000,0.71,0.002648703765451804
2896000,0.71,0.0026258385741063984
2921000,0.71,0.002603364775971287
2946000,0.71,0.0025812724068608726
2971000,0.71,0.002559551837971097
2996000,0.71,0.0026787411665958045
21000,0.72,0.006328012653845816
46000,0.72,0.00288887534197309
71000,0.72,0.0018716657145177768
96000,0.72,0.0013842527680287722
121000,0.72,0.0010982501300062987
146000,0.72,0.003940325824371846
171000,0.72,0.003364254797416898
196000,0.72,0.002935140665093314
221000,0.72,0.0026031111780918078
246000,0.72,0.0023385673591800387
271000,0.72,0.0021228323629457176
296000,0.72,0.0019435390890482753
321000,0.72,0.001792173116380964
346000,0.72,0.0032852841416541566
371000,0.72,0.0030639038086585934
396000,0.72,0.002870475537909945
421000,0.72,0.0027000197458725375
446000,0.72,0.002548673347561296
471000,0.72,0.0024133934458860683
496000,0.72,0.0022917506310732626
521000,0.72,0.00218178179081063
546000,0.72,0.00323315868841699
571000,0.72,0.0030916018281535486
596000,0.72,0.0029619205434155645
621000,0.72,0.0028426805859511697
646000,0.72,0.002732669727361728
671000,0.72,0.0026308563992185935
696000,0.72,0.002536357246947811
721000,0.72,0.0032089069478262473
746000,0.72,0.0031013698517194698
771000,0.72,0.003000806626955544
796000,0.72,0.0029065601876667392
821000,0.72,0.00281805348280478
846000,0.72,0.002734777670665159
871000,0.72,0.002656282329945723
896000,0.72,0.0025821673095789335
921000,0.72,0.003139790504955554
946000,0.72,0.003056815068778082
971000,0.72,0.0029781123121154123
996000,0.72,0.002903360497052274
1021000,0.72,0.002832269397712111
1046000,0.72,0.0027645765344780737
1071000,0.72,0.002700043935634048
1096000,0.72,0.00320249835665945
1121000,0.72,0.0031310777867071876
1146000,0.72,0.0030627732974683746
1171000,0.72,0.002997385310758973
1196000,0.72,0.002934730935534078
1221000,0.72,0.0028746422595403416
1246000,0.72,0.0028169648466282162
1271000,0.72,0.0027615564114073623
1296000,0.72,0.0031117269671686555
1321000,0.72,0.00305283735764616
1346000,0.72,0.002996135326486313
1371000,0.72,0.002941501203100348
1396000,0.72,0.002888823889291245
1421000,0.72,0.0028380001051728204
1446000,0.72,0.002788933713312986
1471000,0.72,0.00274153511179509
1496000,0.72,0.00314371434196511
1521000,0.72,0.0030920425085994773
1546000,0.72,0.0030420418212029786
1571000,0.72,0.0029936324987777244
1596000,0.72,0.002946739759135216
1621000,0.72,0.002901293433423692
1646000,0.72,0.0028572276157835994
1671000,0.72,0.003200235505944959
1696000,0.72,0.0031530622231332704
1721000,0.72,0.0031072594598686963
1746000,0.72,0.0030627683450366702
1771000,0.72,0.0030195333316962317
1796000,0.72,0.002977501965720505
1821000,0.72,0.002936624673494798
1846000,0.72,0.00289685456686567
1871000,0.72,0.0031475469430502613
1896000,0.72,0.0031060444780838816
1921000,0.72,0.0030656222438558245
1946000,0.72,0.0030262386076295167
1971000,0.72,0.0029878540489330484
1996000,0.72,0.0029504310272780755
2021000,0.72,0.002913933859696704
2046000,0.72,0.003105262102879171
2071000,0.72,0.0030677770461085383
2096000,0.72,0.0030311861939364424
2121000,0.72,0.0029954579266811806
2146000,0.72,0.002960562098085174
2171000,0.72,0.0029264699504794028
2196000,0.72,0.0028931540357426152
2221000,0.72,0.0028605881415987317
2246000,0.72,0.0030691929489955806
2271000,0.72,0.0030354061485883196
2296000,0.72,0.0030023551234512513
2321000,0.72,0.002970016097994
2346000,0.72,0.002938366310078463
2371000,0.72,0.0029073839575892335
2396000,0.72,0.0028770481483489456
2421000,0.72,0.0028473388531367505
2446000,0.72,0.0030288949977049233
2471000,0.72,0.0029982505723942705
2496000,0.72,0.00296822001778295
2521000,0.72,0.0029387850711567807
2546000,0.72,0.002909928187111643
2571000,0.72,0.0028816325026784296
2596000,0.72,0.0028538818044631137
2621000,0.72,0.003032803614275219
2646000,0.72,0.003004149007186451
2671000,0.72,0.0029760308023269746
2696000,0.72,0.0029484340775279482
2721000,0.72,0.0029213444590280593
2746000,0.72,0.0028947480965095954
2771000,0.72,0.002868631639485871
2796000,0.72,0.002842982214955418
2821000,0.72,0.002948506542334759
2846000,0.72,0.00292260609835782
2871000,0.72,0.002897156724460591
2896000,0.72,0.002872146738924847
2921000,0.72,0.002847564859954247
2946000,0.72,0.002823400188705484
2971000,0.72,0.002799642193176155
2996000,0.72,0.0029126011857642147
21000,0.73,0.010385474264573176
46000,0.73,0.0047411947729573195
71000,0.73,0.0030717599937469956
96000,0.73,0.0022718224953753824
121000,0.73,0.001802437682281295
146000,0.73,0.005312879036088064
171000,0.73,0.004536142334905599
196000,0.73,0.003957552751371721
221000,0.73,0.0035098657885468663
246000,0.73,0.003153172110849014
271000,0.73,0.0028622890747928317
296000,0.73,0.0026205416867191127
321000,0.73,0.0024164496550431696
346000,0.73,0.003979631372037865
371000,0.73,0.0037114621421161756
396000,0.73,0.0034771526634472254
421000,0.73,0.003270670913836345
446000,0.73,0.0030873373424329625
471000,0.73,0.002923465933598941
496000,0.73,0.0027761138200102847
521000,0.73,0.0026429029841172767
546000,0.73,0.0038084954016387867
571000,0.73,0.003641748667766686
596000,0.73,0.003488990753850298
621000,0.73,0.0033485321888804794
646000,0.73,0.0032189450298680767
671000,0.73,0.0030990141420190426
696000,0.73,0.0029876989788718065
721000,0.73,0.0036824892644677118
746000,0.73,0.003559081447293861
771000,0.73,0.003443676731104047
796000,0.73,0.003335521054875905
821000,0.73,0.0032339522042402194
846000,0.73,0.003138386240757944
871000,0.73,0.0030483062682907236
896000,0.73,0.002963253080001362
921000,0.73,0.003647835834503517
946000,0.73,0.003551434253253424
971000,0.73,0.0034599967081130165
996000,0.73,0.0033731494011824685
1021000,0.73,0.0032905551455217814
1046000,0.73,0.003211908990036079
1071000,0.73,0.003136934457122072
1096000,0.73,0.003578770757447523
1121000,0.73,0.003498958742339416
1146000,0.73,0.0034226289268433556
1171000,0.73,0.003349558283657118
1196000,0.73,0.0032795424332462252
1221000,0.73,0.00321239373477681
1246000,0.73,0.0031479396068719782
1271000,0.73,0.003086021046547982
1296000,0.73,0.003549169201143479
1321000,0.73,0.003482000972507153
1346000,0.73,0.0034173278489464704
1371000,0.73,0.0033550133367483215
1396000,0.73,0.0032949307196862097
1421000,0.73,0.003236962198931702
1446000,0.73,0.0031809981221866865
1471000,0.73,0.003126936291422127
1496000,0.73,0.0035923644921897102
1521000,0.73,0.0035333183959998724
1546000,0.73,0.0034761819406958646
1571000,0.73,0.0034208639594626397
1596000,0.73,0.003367278997691608
1621000,0.73,0.0033153468724958705
1646000,0.73,0.0032649922723668326
1671000,0.73,0.003580325030765185
